TransactionID,LineItemID,CustomerID,FirstName,LastName,CustomerSegment,LaptopBrand,FavoriteMusic,SaleDate,Year,Month,DayOfWeek,Hour,TimeOfDay,ProductCategory,ProductID,UnitsSold,UnitPrice,PreDiscountRevenue,Revenue,OfferUsed,Location
TRANS-00001,1,CUST-0328,Sofia,Rodrigues,student,None,Electronic,2023-02-27,2023,2,Monday,8,Morning,Sandwich,SAND-195,1,4.17,4.17,4.17,No,Campus
TRANS-00001,2,CUST-0328,Sofia,Rodrigues,Student,None,Electronic,2023-02-27,2023,2,Monday,8,Morning,Sandwich,SAND-195,1,5.72,5.72,4.86,Yes,Downtown
TRANS-00003,1,CUST-0280,Mariana,Goncalves,Regular,Lenovo,Fado,2023-02-14,2023,2,Tuesday,17,Afternoon,Sandwich,SAND-155,1,3.78,3.78,3.21,Yes,Downtown
TRANS-00004,1,CUST-0120,Miguel,Oliveira,Student,Apple,Pop,2023-09-16,2023,9,Saturday,17,Afternoon,Cold Drink,COLD-104,1,3.93,3.93,3.93,No,Downtown
TRANS-00005,1,CUST-0280,Mariana,Goncalves,Regular,Lenovo,Fado,2023-08-03,2023,8,Thursday,11,Lunchtime,Sandwich,SAND-158,1,5.93,5.93,5.93,No,Downtown
TRANS-00006,1,CUST-0004,Diogo,Sousa,Student,Dell,Fado,2023-03-23,2023,3,Thursday,19,Afternoon,Cold Drink,COLD-155,1,2.81,2.81,2.81,No,Downtown
TRANS-00006,2,CUST-0004,Diogo,Sousa,Student,Dell,Fado,2023-03-23,2023,3,Thursday,19,Afternoon,Sandwich,SAND-198,1,3.78,3.78,3.78,No,Downtown
TRANS-00008,1,CUST-0050,Diogo,Rodrigues,Tourist,Apple,Indie,2023-07-03,2023,7,Monday,13,Lunchtime,Sandwich,SAND-178,2,3.63,7.26,7.26,No,Downtown
TRANS-00009,1,CUST-0236,Miguel,Fernandes,Regular,Dell,Electronic,2023-10-02,2023,10,Monday,9,Morning,Hot Drink,HOT -149,1,2.44,2.44,2.07,Yes,Downtown
TRANS-00009,2,CUST-0236,Miguel,Fernandes,Regular,Dell,Electronic,2023-10-02,2023,10,Monday,9,Morning,Sandwich,SAND-181,1,6.09,6.09,6.09,No,Downtown
TRANS-00011,1,CUST-0296,Miguel,Rodrigues,Regular,Dell,Indie,2023-04-09,2023,4,Sunday,19,Afternoon,Pastry,PAST-109,1,1.73,1.73,1.47,Yes,Downtown
TRANS-00012,1,CUST-0149,Sofia,Sousa,Regular,HP,Fado,2023-02-10,2023,2,Friday,11,Lunchtime,Hot Drink,HOT -113,1,2.68,2.68,2.68,No,Downtown
TRANS-00012,2,CUST-0149,Sofia,Sousa,Regular,HP,Fado,2023-02-10,2023,2,Friday,11,Lunchtime,Hot Drink,HOT -147,1,2.53,2.53,2.53,No,Downtown
TRANS-00014,1,CUST-0344,Sofia,Rodrigues,Regular,Apple,Electronic,2023-05-17,2023,5,Wednesday,19,Afternoon,Hot Drink,HOT -188,1,2.91,2.91,2.91,No,Downtown
TRANS-00015,1,CUST-0088,Carolina,Fernandes,Student,Dell,Electronic,2023-10-01,2023,10,Sunday,19,Afternoon,Sandwich,SAND-132,2,4.64,9.28,9.28,No,Downtown
TRANS-00016,1,CUST-0328,Sofia,Rodrigues,Student,None,Electronic,2023-12-19,2023,12,Tuesday,16,Afternoon,Cold Drink,COLD-129,2,4.19,8.37,8.37,No,Downtown
TRANS-00017,1,CUST-0029,Mariana,Goncalves,Student,HP,Indie,2023-04-28,2023,4,Friday,8,Morning,Sandwich,SAND-141,1,3.7,3.7,3.7,No,Downtown
TRANS-00018,1,CUST-0291,Diogo,Sousa,Regular,HP,Indie,2023-06-11,2023,6,Sunday,11,Lunchtime,Hot Drink,HOT -184,1,3.33,3.33,3.33,No,Downtown
TRANS-00018,2,CUST-0291,Diogo,Sousa,Regular,HP,Indie,2023-06-11,2023,6,Sunday,11,Lunchtime,Pastry,PAST-183,1,1.76,1.76,1.76,No,Downtown
TRANS-00020,1,CUST-0127,Francisco,Sousa,Regular,None,Pop,2023-10-15,2023,10,Sunday,16,Afternoon,Hot Drink,HOT -134,1,2.64,2.64,2.64,No,Downtown
TRANS-00020,2,CUST-0127,Francisco,Sousa,Regular,None,Pop,2023-10-15,2023,10,Sunday,16,Afternoon,Pastry,PAST-175,2,1.72,3.44,3.44,No,Downtown
TRANS-00020,3,CUST-0127,Francisco,Sousa,Regular,None,Pop,2023-10-15,2023,10,Sunday,16,Afternoon,Pastry,PAST-118,2,1.59,3.18,3.18,No,Downtown
TRANS-00023,1,CUST-0025,Francisco,Martins,Tourist,Dell,Indie,2023-02-26,2023,2,Sunday,10,Morning,Sandwich,SAND-181,1,5.54,5.54,5.54,No,Downtown
TRANS-00024,1,CUST-0306,Diogo,Oliveira,Tourist,Lenovo,Pop,2023-02-02,2023,2,Thursday,14,Afternoon,Pastry,PAST-149,1,1.97,1.97,1.97,No,Downtown
TRANS-00024,2,CUST-0306,Diogo,Oliveira,Tourist,Lenovo,Pop,2023-02-02,2023,2,Thursday,14,Afternoon,Cold Drink,COLD-133,2,4.22,8.44,8.44,No,Downtown
TRANS-00024,3,CUST-0306,Diogo,Oliveira,Tourist,Lenovo,Pop,2023-02-02,2023,2,Thursday,14,Afternoon,Pastry,PAST-102,1,1.61,1.61,1.61,No,Downtown
TRANS-00027,1,CUST-0275,Carolina,Fernandes,Regular,None,Electronic,2023-05-17,2023,5,Wednesday,20,Afternoon,Hot Drink,HOT -183,1,2.44,2.44,2.44,No,Downtown
TRANS-00028,1,CUST-0081,Sofia,Gomes,Tourist,Apple,Indie,2023-08-21,2023,8,Monday,8,Morning,Cold Drink,COLD-193,1,3.03,3.03,3.03,No,Downtown
TRANS-00028,2,CUST-0081,Sofia,Gomes,Tourist,Apple,Indie,2023-08-21,2023,8,Monday,8,Morning,Sandwich,SAND-165,1,5.02,5.02,5.02,No,Downtown
TRANS-00030,1,CUST-0055,Miguel,Ferreira,Regular,Apple,Electronic,2023-11-17,2023,11,Friday,12,Lunchtime,Hot Drink,HOT -182,1,2.3,2.3,2.3,No,Downtown
TRANS-00031,1,CUST-0192,Francisco,Fernandes,Student,Dell,Fado,2023-03-24,2023,3,Friday,16,Afternoon,Sandwich,SAND-168,1,5.3,5.3,5.3,No,Downtown
TRANS-00031,2,CUST-0192,Francisco,Fernandes,Student,Dell,Fado,2023-03-24,2023,3,Friday,16,Afternoon,Pastry,PAST-163,2,2.43,4.86,4.13,Yes,Downtown
TRANS-00031,3,CUST-0192,Francisco,Fernandes,Student,Dell,Fado,2023-03-24,2023,3,Friday,16,Afternoon,Sandwich,SAND-140,1,4.22,4.22,4.22,No,Downtown
TRANS-00034,1,CUST-0291,Diogo,Sousa,Regular,HP,Indie,2023-02-10,2023,2,Friday,9,Morning,Pastry,PAST-194,2,1.57,3.14,2.67,Yes,Downtown
