OrderID,CustomerID,FirstName,LastName,CustomerSegment,PetAtHome,DreamDestination,SmartwatchBrand,OrderDate,Year,Month,DayOfWeek,Hour,RestaurantType,ItemsInOrder,OrderValue,DeliveryTimeMins,OnTimeDelivery,City
ORD-00001,CUST-0328,David,Thompson,Frequent Diner,Cat,Rome,Apple,2023-02-27,2023,2,Monday,13,Burger,1,23.0,28.3,Yes,Lisboa
ORD-00002,CUST-0141,Michael,Taylor,New User,Dog,Tokyo,Garmin,2023-05-06,2023,5,Saturday,19,Pizza,3,28.42,50.2,No,Lisboa
ORD-00003,CUST-0347,Chris,Taylor,New User,Bird,Bali,None,2023-10-07,2023,10,Saturday,12,Italian,2,29.53,44.9,Yes,Lisboa
ORD-00004,CUST-0016,Ashley,Wilson,Frequent Diner,Dog,Rome,None,2023-02-17,2023,2,Friday,19,Italian,5,40.03,50.2,No,Lisboa
ORD-00005,CUST-0014,Sarah,Martin,New User,Fish,Tokyo,None,2023-10-15,2023,10,Sunday,21,Healthy,1,19.0,64.0,No,Lisboa
ORD-00006,CUST-0280,Chris,Miller,New User,Cat,Bali,Samsung,2023-08-03,2023,8,Thursday,13,Burger,2,18.0,30.2,Yes,Lisboa
ORD-00007,CUST-0302,Chris,Moore,Frequent Diner,Bird,Tokyo,Garmin,2023-05-23,2023,5,Tuesday,21,Sushi,4,40.0,65.1,No,Lisboa
ORD-00008,CUST-0217,Matt,Martin,New User,Cat,Rome,Apple,2023-06-24,2023,6,Saturday,15,Italian,3,24.54,45.8,No,Lisboa
ORD-00009,CUST-0048,Matt,Taylor,New User,Cat,Paris,Garmin,2023-07-14,2023,7,Friday,20,Pizza,3,25.78,44.0,Yes,Lisboa
ORD-00010,CUST-0310,Sarah,Wilson,New User,Dog,New York,Samsung,2023-05-16,2023,5,Tuesday,13,Burger,2,18.0,36.1,Yes,Lisboa
ORD-00011,CUST-0236,David,Martin,Frequent Diner,Fish,Tokyo,Fitbit,2023-10-02,2023,10,Monday,21,Sushi,5,40.0,49.2,No,Lisboa
ORD-00012,CUST-0194,Sarah,Wilson,Frequent Diner,None,New York,Garmin,2023-02-10,2023,2,Friday,11,Healthy,3,29.08,35.5,Yes,Lisboa
ORD-00013,CUST-0317,Sarah,Taylor,New User,Bird,Paris,Fitbit,2023-07-05,2023,7,Wednesday,13,Healthy,1,23.75,35.8,Yes,Lisboa
ORD-00014,CUST-0036,Jessica,Wilson,Frequent Diner,Fish,Paris,Fitbit,2023-01-24,2023,1,Tuesday,14,Healthy,2,22.1,36.6,Yes,Lisboa
ORD-00015,CUST-0149,Matt,Taylor,Weekend Special,Fish,Paris,Apple,2023-02-10,2023,2,Friday,12,Sushi,3,38.7,46.6,No,Lisboa
ORD-00016,CUST-0195,Amanda,Wilson,Frequent Diner,Dog,Rome,None,2023-05-23,2023,5,Tuesday,20,Burger,1,23.0,47.5,No,Lisboa
ORD-00017,CUST-0187,Michael,Wilson,Frequent Diner,Cat,Tokyo,Garmin,2023-03-25,2023,3,Saturday,20,Burger,3,26.26,59.7,No,Lisboa
ORD-00018,CUST-0137,Chris,Thompson,Frequent Diner,None,New York,None,2023-12-26,2023,12,Tuesday,20,Burger,2,23.0,52.4,No,Lisboa
ORD-00019,CUST-0312,Matt,Moore,Frequent Diner,Bird,Tokyo,Fitbit,2023-11-22,2023,11,Wednesday,20,Sushi,3,36.5,53.7,No,Lisboa
ORD-00020,CUST-0126,Sarah,Taylor,New User,Fish,Paris,Samsung,2023-03-25,2023,3,Saturday,19,Pizza,2,25.62,51.6,No,Lisboa
ORD-00021,CUST-0328,David,Thompson,Frequent Diner,Cat,Rome,Apple,2023-12-19,2023,12,Tuesday,19,Burger,2,23.0,44.6,Yes,Lisboa
ORD-00022,CUST-0167,Chris,Moore,Weekend Special,Cat,Bali,Apple,2023-01-29,2023,1,Sunday,21,Pizza,3,26.4,55.3,No,Lisboa
ORD-00023,CUST-0017,David,Miller,Frequent Diner,Dog,Bali,Garmin,2023-06-11,2023,6,Sunday,19,Burger,2,23.0,58.0,No,Lisboa
