TransactionID,LineItemID,CustomerID,FirstName,LastName,CustomerSegment,PaymentType,PreferredMagazine,CustomerHeightCM,SaleDate,Year,Month,DayOfWeek,Hour,ProductCategory,ProductID,UnitsSold,UnitPrice,PreDiscountRevenue,Revenue,Profit,PromotionUsed
TRANS-00001,1,CUST-0328,Matilde,Santos,Parent,Debit Card,None,156,2023-02-27,2023,2,Monday,18,Medications,MEDI-104,1,10.67,10.67,10.67,1.6,No
TRANS-00002,1,CUST-0072,Martim,Santos,Regular,Debit Card,Health Today,181,2023-02-22,2023,2,Wednesday,18,Dermocosmetics,DERM-187,1,31.36,31.36,31.36,12.54,No
TRANS-00002,2,CUST-0072,Martim,Santos,Regular,Debit Card,Health Today,181,2023-02-22,2023,2,Wednesday,18,Medications,MEDI-176,1,7.45,7.45,7.45,1.12,No
TRANS-00004,1,CUST-0112,Beatriz,Pereira,Parent,Cash,Wellness Weekly,191,2023-04-30,2023,4,Sunday,8,Medications,MEDI-165,1,15.42,15.42,15.42,2.31,No
TRANS-00005,1,CUST-0333,Leonor,Oliveira,Regular,Debit Card,Pharma Times,159,2023-12-26,2023,12,Tuesday,12,Medications,MEDI-170,2,13.74,27.48,27.48,4.12,No
TRANS-00006,1,CUST-0143,Francisco,Oliveira,Regular,MB Way,Pharma Times,172,2023-01-04,2023,1,Wednesday,12,Supplements,SUPP-198,1,26.96,26.96,26.96,12.13,No
TRANS-00006,2,CUST-0143,Francisco,Oliveira,Regular,MBWay,Pharma Times,172,2023-01-04,2023,1,Wednesday,12,Medications,MEDI-144,1,10.23,10.23,10.23,1.53,No
TRANS-00006,3,CUST-0143,Francisco,Oliveira,Regular,MBWay,Pharma Times,172,2023-01-04,2023,1,Wednesday,12,Supplements,SUPP-198,1,14.85,14.85,14.85,6.68,No
TRANS-00009,1,CUST-0050,Beatriz,Oliveira,Regular,Credit Card,None,183,2023-07-03,2023,7,Monday,16,Dermocosmetics,DERM-145,1,39.21,39.21,39.21,15.69,No
TRANS-00010,1,CUST-0236,Leonor,Pereira,Regular,Debit Card,Health Today,185,2023-10-02,2023,10,Monday,13,Dermocosmetics,DERM-116,1,26.36,26.36,26.36,10.54,No
TRANS-00010,2,CUST-0236,Leonor,Pereira,Regular,MBWay,Health Today,185,2023-10-02,2023,10,Monday,13,Supplements,SUPP-171,1,25.57,25.57,25.57,11.51,No
TRANS-00012,1,CUST-0186,Leonor,Pereira,Regular,Debit Card,Wellness Weekly,137,2023-10-23,2023,10,Monday,15,Medications,MEDI-125,2,7.69,15.37,15.37,2.31,No
TRANS-00012,2,CUST-0186,Leonor,Pereira,Regular,Debit Card,Wellness Weekly,137,2023-10-23,2023,10,Monday,15,Medications,MEDI-130,1,21.78,21.78,21.78,3.27,No
