SessionID,CustomerID,FirstName,LastName,CustomerSegment,Sofa_Color,Pillow_Size,SessionDate,Year,Month,DayOfWeek,Genre,Title,Is_Trending,Episodes_Watched,Watch_Next_Episode,User_Country,User_Age
SESS-00001,USER-0058,Daniel,Jackson,Regular User,Beige,Standard,2023-01-13,2023,1,Friday,Sci-Fi,Chronos,Yes,2,Yes,USA,28
SESS-00002,USER-0053,Chris,Thomas,Regular User,Blue,Queen,2023-12-13,2023,12,Wednesday,Sci-Fi,Galaxy Runners,No,1,Yes,USA,25
SESS-00003,USER-0048,Joshua,Thompson,Regular User,Red,King,2023-04-22,2023,4,Saturday,Sci-Fi,The Omega Protocol,No,3,Yes,USA,43
SESS-00004,USER-0102,Matthew,Thompson,Family Account,Beige,Queen,2023-11-29,2023,11,Wednesday,Comedy,Weekend Getaway,No,1,No,USA,49
SESS-00005,USER-0004,Daniel,Jackson,New Subscriber,Black,Standard,2023-03-23,2023,3,Thursday,Sci-Fi,Dimension Drift,Yes,1,Yes,USA,56
SESS-00006,USER-0173,Ashley,Thomas,Regular User,Red,Standard,2023-02-22,2023,2,Wednesday,Comedy,Just Kidding,No,2,No,USA,21
SESS-00007,USER-0177,Jessica,Martin,New Subscriber,Grey,Queen,2023-11-06,2023,11,Monday,Drama,Crossroads,No,2,No,USA,51
SESS-00008,USER-0275,Matthew,Harris,Regular User,Black,Queen,2023-03-05,2023,3,Sunday,Sci-Fi,Dimension Drift,Yes,2,Yes,USA,45
SESS-00009,USER-0186,Jessica,Martin,Regular User,Black,Queen,2023-10-23,2023,10,Monday,Comedy,Laugh Track,No,1,Yes,USA,42
SESS-00010,USER-0117,Matthew,Taylor,Family Account,Blue,Queen,2023-05-29,2023,5,Monday,Comedy,Just Kidding,No,1,No,United States,61
SESS-00011,USER-0195,Sarah,Thompson,New Subscriber,Red,King,2023-05-23,2023,5,Tuesday,Comedy,Weekend Getaway,No,1,No,USA,52
SESS-00012,USER-0190,Jessica,Jackson,Regular User,Beige,Queen,2023-07-01,2023,7,Saturday,Comedy,Laugh Track,No,2,No,USA,36
SESS-00013,USER-0037,Daniel,Thomas,New Subscriber,Grey,Queen,2023-11-08,2023,11,Wednesday,Sci-Fi,The Omega Protocol,No,2,Yes,USA,52
SESS-00014,USER-0237,Joshua,Anderson,Family Account,Black,King,2023-07-14,2023,7,Friday,Family,Adventures of Sparky,No,1,No,USA,56
SESS-00015,USER-0286,Chris,White,New Subscriber,Blue,King,2023-04-23,2023,4,Sunday,Drama,Crossroads,No,2,No,USA,46
SESS-00016,USER-0118,Matthew,Thomas,Regular User,Black,King,2023-01-17,2023,1,Tuesday,Sci-Fi,Chronos,No,1,Yes,USA,31
SESS-00017,USER-0291,Joshua,Thompson,Regular User,Grey,Queen,2023-06-11,2023,6,Sunday,Sci-Fi,The Omega Protocol,No,3,No,USA,38
SESS-00018,USER-0235,Jessica,Anderson,New Subscriber,Blue,Standard,2023-03-15,2023,3,Wednesday,Comedy,The Misfit,Yes,1,Yes,USA,53
SESS-00019,USER-0276,Matthew,Harris,New Subscriber,Beige,Standard,2023-05-15,2023,5,Monday,Comedy,Weekend Getaway,No,1,No,USA,55
SESS-00020,USER-0113,Chris,Taylor,Regular User,Red,Standard,2023-03-12,2023,3,Sunday,Drama,Last Hope,Yes,2,Yes,USA,31
SESS-00021,USER-0057,Daniel,Thomas,Regular User,Blue,Queen,2023-03-20,2023,3,Monday,Drama,City Lights,No,1,No,USA,57
SESS-00022,USER-0033,Joshua,Jackson,Regular User,Blue,Queen,2023-07-17,2023,7,Monday,Family,Adventures of Sparky,No,1,No,USA,32
SESS-00023,USER-0129,Joshua,Jackson,Regular User,Beige,Standard,2023-10-11,2023,10,Wednesday,Drama,The Inheritance,No,1,Yes,USA,47
SESS-00024,USER-0275,Matthew,Harris,Regular User,Black,Queen,2023-05-17,2023,5,Wednesday,Drama,Crossroads,Yes,1,Yes,USA,64
SESS-00025,USER-0233,Sarah,Taylor,New Subscriber,Grey,King,2023-01-02,2023,1,Monday,Comedy,The Misfit,No,2,No,USA,29
SESS-00026,USER-0260,Sarah,White,Family Account,Blue,King,2023-02-24,2023,2,Friday,Family,Holiday Heist,No,1,No,USA,22
SESS-00027,USER-0102,Matthew,Thompson,Family Account,Beige,Queen,2023-03-20,2023,3,Monday,Family,Adventures of Sparky,No,1,No,USA,44
SESS-00028,USER-0272,Joshua,White,New Subscriber,Beige,Standard,2023-01-01,2023,1,Sunday,Family,Holiday Heist,No,3,Yes,USA,32
SESS-00029,USER-0186,Jessica,Martin,Regular User,Black,Queen,2023-06-07,2023,6,Wednesday,Sci-Fi,The Omega Protocol,Yes,1,Yes,USA,43
SESS-00030,USER-0041,Ashley,Taylor,regular user,Red,Standard,2023-02-13,2023,2,Monday,Sci-Fi,Dimension Drift,No,1,No,USA,26
SESS-00031,USER-0273,Ashley,Thompson,New Subscriber,Black,Standard,2023-03-06,2023,3,Monday,Family,The Magical Treehouse,No,1,No,USA,57
SESS-00032,USER-0085,Amanda,Jackson,Regular User,Blue,Standard,2023-05-16,2023,5,Tuesday,Drama,Last Hope,No,1,No,USA,57
SESS-00033,USER-0103,Jessica,Taylor,Regular User,Red,King,2023-06-09,2023,6,Friday,Family,Adventures of Sparky,No,1,No,USA,52
SESS-00034,USER-0225,Amanda,Jackson,New Subscriber,Beige,Queen,2023-09-22,2023,9,Friday,Drama,Last Hope,Yes,1,Yes,USA,30
SESS-00035,USER-0174,Chris,White,Regular User,,Queen,2023-01-11,2023,1,Wednesday,Sci-Fi,The Omega Protocol,No,1,Yes,USA,62
SESS-00036,USER-0031,Matthew,White,Regular User,Beige,King,2023-04-28,2023,4,Friday,Drama,The Inheritance,No,1,No,USA,61
SESS-00037,USER-0037,Daniel,Thomas,New Subscriber,Grey,Queen,2023-09-21,2023,9,Thursday,Comedy,Laugh Track,No,1,No,USA,64
SESS-00038,USER-0277,Matthew,Thomas,New Subscriber,Black,Standard,2023-03-09,2023,3,Thursday,Comedy,Weekend Getaway,No,1,No,USA,63
SESS-00039,USER-0209,Ashley,Taylor,New Subscriber,Blue,Standard,2023-04-08,2023,4,Saturday,Comedy,Just Kidding,Yes,2,Yes,USA,50
SESS-00040,USER-0217,Sarah,Thomas,Family Account,Black,King,2023-07-30,2023,7,Sunday,Family,Adventures of Sparky,No,1,No,USA,51
SESS-00041,USER-0051,Daniel,Martin,Regular User,Black,Standard,2023-02-01,2023,2,Wednesday,Family,Adventures of Sparky,No,2,No,USA,21
SESS-00042,USER-0056,Sarah,Taylor,Family Account,Grey,King,2023-05-08,2023,5,Monday,Family,The Magical Treehouse,No,1,No,USA,30
